user_id_1,user_id_2,jaccard_similarity
131695,4592,0.023923444976076555
310427,217769,0.005291005291005291
209383,184581,0.11700680272108843
326980,82753,0.022727272727272728
276509,282499,0.038461538461538464
322988,206986,0.0
102018,170246,0.05555555555555555
120095,196785,0.04416403785488959
64421,148543,0.10666666666666667
130900,314043,0.031317754757889664
12954,139971,0.24390243902439024
87921,222187,0.02304147465437788
190486,199245,0.047244094488188976
186937,65916,0.02531645569620253
4336,78539,0.07453416149068323
40660,294846,0.06724511930585683
234133,25766,0.007401315789473684
116503,144632,0.029850746268656716
329861,24904,0.047619047619047616
189776,117791,0.010825439783491205
231971,184386,0.1065989847715736
220089,9914,0.047619047619047616
276154,30203,0.0423728813559322
28406,81821,0.04521739130434783
112111,211784,0.05555555555555555
202992,230587,0.04823151125401929
97473,175095,0.036057692307692304
151837,40397,0.0
20794,289049,0.01282051282051282
228920,303471,0.06521739130434782
32519,210000,0.07630522088353414
207619,242704,0.030848329048843187
88444,232729,0.034334763948497854
32858,203181,0.01466275659824047
14747,28734,0.0
80465,262343,0.03257328990228013
28911,78665,0.11926605504587157
322731,86313,0.0
68008,163811,0.09411764705882353
258164,319200,0.07523510971786834
203006,153895,0.042105263157894736
84194,50175,0.053237410071942444
281480,126733,0.01098901098901099
186875,289524,0.07276995305164319
127368,88675,0.0
285838,277581,0.05625
160713,203583,0.04481792717086835
150980,277005,0.08387698042870456
295410,43785,0.06086956521739131
322219,309298,0.028169014084507043
96821,87301,0.014457831325301205
57394,186497,0.059574468085106386
143758,84168,0.026737967914438502
278653,157927,0.22748815165876776
253374,306905,0.010362694300518135
49299,131726,0.10485933503836317
251294,271642,0.08275862068965517
69716,155845,0.0
206930,267241,0.0
111009,95933,0.03597122302158273
143126,169341,0.0196078431372549
57155,224536,0.02631578947368421
59149,210009,0.0
94248,271398,0.02727272727272727
313470,149868,0.23160762942779292
171219,295918,0.06907894736842106
314023,325455,0.013368983957219251
310024,322407,0.1268882175226586
71905,54512,0.05333333333333334
247709,5084,0.09863945578231292
249580,202891,0.09541984732824428
136501,63679,0.07311827956989247
232194,251544,0.02857142857142857
232248,55845,0.011494252873563218
168986,9370,0.015384615384615385
129692,160767,0.05
302756,310659,0.02197802197802198
5110,149208,0.009900990099009901
296416,22049,0.13877551020408163
199427,263789,0.0
221236,170578,0.011737089201877934
221114,321238,0.022727272727272728
107024,197716,0.034782608695652174
83696,287949,0.03225806451612903
175405,55032,0.04329608938547486
95628,115635,0.015138023152270703
44746,95325,0.0
316962,103961,0.043478260869565216
295403,47444,0.07407407407407407
241577,263112,0.010526315789473684
86039,246072,0.0
201975,112391,0.08045977011494253
297813,329124,0.01971830985915493
23024,174730,0.019305019305019305
235222,304126,0.011627906976744186
63277,230897,0.03507404520654715
91566,157364,0.021526418786692758
176165,128003,0.048484848484848485
234933,52732,0.03184713375796178
209665,24700,0.0
